panel,family,N,J,p,absorb,method,time,peak_rss_mb,iters,coef_dev,status,reason
B,poisson,200000,100,2,500,tilted,0.10257206000005681,79.1171875,7,0.0,ok,
B,poisson,200000,100,2,500,pyfixest,0.19316922000007253,377.54296875,,0.00038257794027535263,ok,
B,poisson,200000,100,2,500,dense,10.013001370000211,2836.515625,7,3.677613769070831e-13,ok,
B,poisson,200000,100,2,500,glum,,,,,fail,singular
B,poisson,200000,100,2,5000,tilted,0.1610150850001446,79.38671875,10,0.0,ok,
B,poisson,200000,100,2,5000,pyfixest,0.2071050130000458,371.73828125,,0.0005364290718238851,ok,
B,poisson,200000,100,2,5000,dense,,,,,fail,timeout/oom
B,poisson,200000,100,2,5000,glum,,,,,fail,singular
B,poisson,500000,100,2,20000,tilted,0.36193913099987185,111.5625,10,0.0,ok,
B,poisson,500000,100,2,20000,pyfixest,0.6433723190000364,544.26171875,,0.00034812088087807225,ok,
B,poisson,500000,100,2,20000,dense,,,,,fail,oom
B,poisson,500000,100,2,20000,glum,,,,,fail,timeout/oom
