scenario,family,N,J,cond_number,tilted_vs_dense,err_vs_standardized,converged,iters,gamma1_scaled
balanced,poisson,100000,100,353234.73625005863,2.3092638912203256e-14,5.5434941831506696e-17,True,9,0.30515697271240166
collinear,poisson,100000,100,481245.3492321972,8.067158052682544e-14,1.2019226959642063e-13,True,9,0.142299058887387
ill_scaled,poisson,100000,100,3.265519524133293e+17,3.6415315207705135e-14,0.0,True,9,0.29672068505299776
extreme_offset,poisson,100000,100,274110.65439413144,1.3322676295501878e-15,5.5395367454359423e-17,True,8,0.29938417668027734
huge_eta,poisson,100000,100,159487800361.0686,1.3610446103484719e-11,2.7826259212107757e-17,True,17,2.396855494423678
unbalanced,poisson,99997,27,259995.4905349584,1.1102230246251565e-15,5.569544882313987e-17,True,10,0.298155196790882
cancellation,poisson,100000,100,8.645092574341205e+29,10764973.743028237,0.27165748465562894,False,6,0.025958876193097318
cancellation_ctr,poisson,100000,100,283781.79748767393,5.284661597215745e-14,2.7754509860948677e-17,True,8,0.30376928994667074
balanced,binomial,100000,100,45851.2186056013,7.993605777301127e-15,2.7667845801133403e-17,True,7,0.29930254594491634
collinear,binomial,100000,100,105902.53203555293,2.363387263670802e-13,7.572792067421068e-14,True,7,0.24562929029008965
ill_scaled,binomial,100000,100,5.8101405810933976e+16,1.3322676295501878e-14,5.5457081742075773e-17,True,7,0.2996794478303802
extreme_offset,binomial,100000,100,10118.521151757177,3.1086244689504383e-15,1.6606205004998075e-16,True,4,0.2996807038498007
huge_eta,binomial,100000,100,34530295.825529866,1.829647544582258e-13,5.548036162896313e-17,True,11,2.374016385913058
unbalanced,binomial,99999,2,34413.90605294911,1.1102230246251565e-16,5.535689703608038e-17,True,5,0.29677605283201164
cancellation,binomial,100000,100,2.775903770859412e+30,230568.5403281548,0.26231092947879664,False,6,0.02391655128836775
cancellation_ctr,binomial,100000,100,44031.66132046568,1.554312234475219e-14,5.545554092698955e-17,True,7,0.2977816163431685
